QuantityAdjustment id,Location Name,Brand Name,Product Name,Adjustment Reason,Product Quantity Change,Inventory Adjustment Cost
b0d2dc74-6782-4650-aab9-a2a71066750a,Rella Aesthetics,Galderma,Restylane Kysse,recount,6.0,0.0
b4f5f164-c978-4f76-861e-151ba2f95bde,Rella Aesthetics,Botox,Botox,sale,-50.0,-317.0
b54292c5-975b-412b-99ee-44e71af14548,Rella Aesthetics - Napa,,C02 Mask,sale,-1.0,0.0
b69bca1b-4e67-4d2e-aaff-c9110bda48f0,Rella Aesthetics - Napa,,RF Microneedling Face + Neck Package (3),sale,-1.0,0.0
b79ac114-d061-4183-b457-3453e62cd30e,Rella Aesthetics,Botox,Botox,sale,-46.0,-291.64
b9eeecf1-1c82-4444-89d5-60b1f742b9c5,Rella Aesthetics,,Juvederm Voluma XC,sale,-2.0,0.0
bba56ea1-63d2-41c1-8706-ba4db054004e,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
bd1be46a-fcd8-49c3-af9d-8753dd15c506,Rella Aesthetics,Rella Skincare,Complexion Gly-Sal Pads,sale,-1.0,-19.0
be50ddfe-1046-4b4c-b683-9a4555b852ee,Rella Aesthetics,Rella Skincare,Skincare Kit,sale,-1.0,0.0
c02e141a-db69-45a9-9cf2-00acf4abd82d,Rella Aesthetics,Galderma,Restylane Lyft,sale,-2.0,0.0
c3ed23a3-2a0b-4991-b43b-3fb31d353ac7,Rella Aesthetics,Botox,Botox,sale,-50.0,-317.0
c4014657-38a6-4b8c-adb7-f12b064cb3a1,Rella Aesthetics,Galderma,Restylane Contour,sale,-2.0,0.0
c6d7cf3a-c315-4981-b0d3-c139960e0824,Rella Aesthetics - Napa,,Semaglutide x1 Month Supply,sale,-1.0,0.0
c948a67e-c8a3-4ef1-804b-8b3f185c59b7,Rella Aesthetics,,Semaglutide x3 Month Supply,sale,-1.0,-300.0
d1ab6c2a-5119-48c2-8bae-b985eb45baef,Rella Aesthetics,Botox,Botox,sale,-18.0,-114.12
d3ac21a3-2e21-49bc-a6f1-f4919f2ff81f,Rella Aesthetics,Botox,Botox,sale,-6.0,-38.04
d3e700ae-9058-46b4-acb0-518de0ada863,Rella Aesthetics,,Kybella,transfer,-12.0,0.0
d571df6a-a696-48e7-9753-1fa9d9f08d6f,Rella Aesthetics,Botox,Botox,sale,-16.0,-101.44
d6bf3996-1ea1-4ca3-9665-d9c8862a3bbc,Rella Aesthetics,SkinCeuticals,Soothing Cleanser,received,3.0,58.5
d7bad64e-440f-478b-9bdc-a08021b1a3ce,Rella Aesthetics,Botox,Botox,sale,-2.0,-12.68
d841b593-365a-460a-8897-92a86f469963,Rella Aesthetics,SkinCeuticals,Hydrating B5 Gel,received,3.0,135.0
d9a13f03-160a-48ee-ba03-1e59f2c95c07,Rella Aesthetics,Botox,Botox,sale,-71.0,-450.14
db3043b0-be78-491e-af5c-e8da221accd8,Rella Aesthetics,Galderma,Dysport,sale,-6.0,-12.0
e0958d47-5a78-4585-b59e-45cebc467ae7,Rella Aesthetics - Napa,,Tox Membership,sale,-1.0,0.0
e0d62a95-775a-4841-9208-eb6d686960e5,Rella Aesthetics,Botox,Botox,sale,-52.0,-329.68
e1830f02-fd6d-4d8e-bb80-d197e71de730,Rella Aesthetics - Napa,SkinCeuticals,Micro Exfoliating Scrub,usage,-1.0,-17.5
e1b956a9-d9c3-4392-9fcc-19fb9c7559ea,Rella Aesthetics,,RF Microneedling Tips,service_usage,-1.0,0.0
e54fb639-118e-4513-ace1-2583d4c0e77e,Rella Aesthetics,,C02 Mask,sale,-1.0,0.0
e59d572a-7ee8-4aa4-86c1-4e9875dbf3ec,Rella Aesthetics,SkinCeuticals,Blemish + Age Defense,received,3.0,159.0
